DATA,CODIGO,ALMOXARIFADO,QUANTIDADE,UNITCOST,VALOR,LATITUDE,LONGITUDE
2021-01-01,MED_000004,City01,6427.151485073681,3.0018341866525624,19293.24305068896,-12.0956,-45.7866
2021-01-01,MED_000038,City02,259330.13654883724,3.2990170287353116,855534.5365388676,-10.7171,-43.6302
2021-01-01,MED_000094,City01,210596.35749214602,5.30403443378514,1117010.3317680676,-12.0956,-45.7866
2021-01-01,MED_000066,City01,26896.620539220286,2.3947526656477387,64410.7537332135,-12.0956,-45.7866
2021-01-01,MED_000061,City01,1968.6849727619774,2.1229454549561133,4179.41081516544,-12.0956,-45.7866
2021-01-01,MED_000060,City01,1488.8199471654764,5.8124668791398255,8653.716631902036,-12.0956,-45.7866
2021-01-01,MED_000026,City02,919699.3849761605,443.97274822475674,408321463.4884845,-10.7171,-43.6302
2021-01-01,MED_000097,City01,1424.291704421379,150.30995284555618,214085.21892989433,-12.0956,-45.7866
2021-01-01,MED_000058,City01,16008.390016386518,8.084175255932562,129414.63045778975,-12.0956,-45.7866
2021-01-01,MED_000053,City02,19521.32857497371,1.0184884600042998,19882.24787756291,-10.7171,-43.6302
2021-01-01,MED_000048,City01,8431.111399144278,2.7853537284859264,23483.62757088671,-12.0956,-45.7866
2021-01-01,MED_000024,City02,200943.17234830174,5.653374095616568,1136006.9252449046,-10.7171,-43.6302
2021-01-01,MED_000107,City01,13490.76376379167,6.100236927444299,82296.85529130939,-12.0956,-45.7866
2021-01-01,MED_000056,City03,26977.191219953627,2.893345634573834,78054.33844931639,-12.4169,-41.7722
2021-01-01,MED_000025,City01,1517.6568287783975,3397.3747078177407,5156048.925238607,-12.0956,-45.7866
2021-01-01,MED_000022,City01,28103.993243487,4.182492497373724,117544.74088712622,-12.0956,-45.7866
2021-01-01,MED_000098,City03,2071.789550881844,1.7629861787506755,3652.536343484761,-12.4169,-41.7722
2021-01-01,MED_000016,City01,40033.3230798935,6.491733746350163,259885.67441628347,-12.0956,-45.7866
2021-01-01,MED_000113,City01,938.7353562058602,1.5592374048818316,1463.7112806812472,-12.0956,-45.7866
2021-01-01,MED_000047,City01,5047.466803358108,573.7065809984352,2895764.9224576815,-12.0956,-45.7866
2021-01-01,MED_000076,City01,5723.7251761953985,4.163545072198988,23830.98775196964,-12.0956,-45.7866
2021-01-01,MED_000010,City01,1016.999041674578,3.741352697625199,3804.9521080514246,-12.0956,-45.7866
2021-01-01,MED_000040,City02,19504.5016410371,3.526472608380266,68782.09077722528,-10.7171,-43.6302
2021-01-02,MED_000048,City01,36969.63597730261,3.880977963920672,143478.3425620803,-12.0956,-45.7866
2021-01-02,MED_000106,City01,7074.818652058512,0.4546810258364271,3216.7858023246526,-12.0956,-45.7866
2021-01-02,MED_000058,City01,2630.8731567935147,10.219989396125534,26887.49576498103,-12.0956,-45.7866
2021-01-02,MED_000005,City02,53624.018363925985,2.0316749999995554,108946.57750950549,-10.7171,-43.6302
2021-01-02,MED_000061,City01,958.0973569002031,0.687506928715326,658.6985712527302,-12.0956,-45.7866
2021-01-02,MED_000025,City01,748.4614471734693,405.9740943120419,303855.9581437294,-12.0956,-45.7866
2021-01-02,MED_000038,City02,74470.08137210028,5.117807301440667,381123.5261850154,-10.7171,-43.6302
2021-01-02,MED_000090,City01,70215.61877112262,2.6477301246518885,185912.009041374,-12.0956,-45.7866
2021-01-02,MED_000024,City02,258119.86526449132,8.141544845608568,2101494.4585932973,-10.7171,-43.6302
2021-01-02,MED_000032,City01,59983.463751557545,6.15622102555399,369271.4607328942,-12.0956,-45.7866
2021-01-02,MED_000094,City01,91424.60452258217,10.13204730055179,926318.4174570437,-12.0956,-45.7866
2021-01-02,MED_000056,City03,10576.691519250182,6.127963626863558,64813.58092252138,-12.4169,-41.7722
2021-01-02,MED_000082,City02,77630.26774500874,693.4589243508757,53833401.96752424,-10.7171,-43.6302
2021-01-02,MED_000099,City01,717.6840475109731,98.14818520624593,70439.38681467519,-12.0956,-45.7866
2021-01-02,MED_000071,City01,7452.867155557554,1.9136956754722936,14262.519645459985,-12.0956,-45.7866
2021-01-02,MED_000044,City01,2494.0884268028376,1.728593107352267,4311.264063698444,-12.0956,-45.7866
2021-01-02,MED_000042,City01,745.8883125949607,443.95217843434745,331138.7412452523,-12.0956,-45.7866
2021-01-02,MED_000083,City02,5974.3527473018075,6.637734596958217,39656.16792519758,-10.7171,-43.6302
2021-01-02,MED_000010,City01,8641.341033030616,3.141648345155215,27148.05475634249,-12.0956,-45.7866
2021-01-02,MED_000060,City01,979.6775713281978,2.5231658447195278,2471.8889868130877,-12.0956,-45.7866
2021-01-02,MED_000004,City01,91713.74899012802,4.323972386212504,396567.7180693385,-12.0956,-45.7866
2021-01-02,MED_000016,City01,28009.203290544574,7.5001627951596905,210073.5844418068,-12.0956,-45.7866
2021-01-02,MED_000022,City01,68252.56261845645,1.492808958328891,101888.03690573538,-12.0956,-45.7866
